title,poster_image_url,trailer_youtube_url,release_year,description,watch_url
The Shawshank Redemption,"https://images-na.ssl-images-amazon.com/images/M/MV5BODU4MjU4NjIwNl5BMl5BanBnXkFtZTgwMDU2MjEyMDE@._V1_SY1000_CR0,0,672,1000_AL_.jpg",https://www.youtube.com/watch?v=6hB3S9bIaco,1994,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",https://www.amazon.co.uk/dp/B00I6EZ408?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21
The Godfather,https://images-na.ssl-images-amazon.com/images/M/MV5BNTc0ZDk1YWItZDZiNi00NTdmLWE0MDctNTVhYTRhMDBmZjNjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,https://www.youtube.com/watch?v=sY1S34973zA,1972,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://www.amazon.co.uk/dp/B00KU7RBLO?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21
The Godfather: Part II,https://images-na.ssl-images-amazon.com/images/M/MV5BOTE1MTBiYzYtMDI1OC00ZTUxLTg0ZWQtZjdjMzA0OTM1NGMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,https://www.youtube.com/watch?v=VnAP4WMH0m0,1974,"The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://www.amazon.co.uk/dp/B00FYINOWY?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21
The Dark Knight,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SY1000_CR0,0,675,1000_AL_.jpg",https://www.youtube.com/watch?v=EXeTwQWrcwY,2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.",https://www.amazon.co.uk/dp/B00I9M40GQ?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21
12 Angry Men,"https://images-na.ssl-images-amazon.com/images/M/MV5BODQwOTc5MDM2N15BMl5BanBnXkFtZTcwODQxNTEzNA@@._V1_SY1000_CR0,0,666,1000_AL_.jpg",https://www.youtube.com/watch?v=dzhH2hlNSfs,1957,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,https://www.amazon.co.uk/dp/B019QWF3UO?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21
Schindler's List,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzMwMTM4MDU2N15BMl5BanBnXkFtZTgwMzQ0MjMxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/watch?v=JdRGC-w9syA,1993,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.",https://www.amazon.co.uk/dp/B00ILNTNLU?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21
Pulp Fiction,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/watch?v=s7EdQ4FqbhY,1994,"The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://www.amazon.co.uk/dp/B00FGKCHAK?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21
The Lord of the Rings: The Return of the King,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MjA1NTAyMV5BMl5BanBnXkFtZTcwNzM1NDQyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/watch?v=r5X-hFf6Bwo,2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://www.amazon.co.uk/dp/B01AG6NSD8?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21
"The Good, the Bad and the Ugly","https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.youtube.com/watch?v=WCN5JJY_wiA,1966,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://www.amazon.co.uk/dp/B00L2LU1FU?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21
Fight Club,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzc1YmU2ZjEtYWIwMC00ZjM3LWI0NTctMDVlNGQ3YmYwMzE5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR3,0,182,268_AL_.jpg",https://www.youtube.com/watch?v=SUXWAEX2jlg,1999,"An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more.",https://www.amazon.co.uk/dp/B00FYHUBSA?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21
